PROPERTY_TYPE,STATE,LAT,ION,AREA_M2,PRICE_USD
house,Estado de México,19.544106,-99.112656,131.0,
house,Chihuahua,28.6329957,-106.0691004,115.0,
house,Yucatán,20.99214914,-89.5655331,121.0,
house,San Luis Potosí,22.141575,-100.900192,108.0,
house,Distrito Federal,19.499857,-99.097517,300.0,
apartment,Distrito Federal,19.381729,-99.164986,80.0,
house,Morelos,18.942068,-99.242531,290.0,
house,Puebla,19.087196,-98.288637,148.0,
house,Veracruz de Ignacio de la Llave,19.1616453,-96.154687,290.0,
house,Puebla,18.989595,-98.203529,200.0,
house,Morelos,18.917542,-98.963181,220.0,
house,Yucatán,20.9993534,-89.5910162,192.0,
house,Baja California Sur,24.14994473,-110.3169306,176.0,
apartment,Distrito Federal,19.384533,-99.183172,120.0,
house,Distrito Federal,19.317922,-99.236124,350.0,
house,Estado de México,19.696592,-99.231445,87.0,
apartment,Distrito Federal,19.38250406,-99.15803991,78.0,
apartment,Distrito Federal,19.401819,-99.184615,75.0,
house,Puebla,18.998509,-98.179484,200.0,
apartment,San Luis Potosí,22.1418,-101.027344,114.0,
house,Yucatán,21.072905,-89.65963,266.0,
house,Nuevo León,25.6318511,-100.170963,204.0,
house,Estado de México,19.283869,-99.588992,70.0,
house,Jalisco,20.532827,-103.483829,155.0,
house,Morelos,18.918608,-98.941094,247.0,
apartment,Jalisco,20.649012,-103.448288,88.0,
house,Yucatán,21.030668,-89.599258,175.0,
house,Zacatecas,23.634501,-102.552788,170.0,
apartment,Distrito Federal,19.380937,-99.179545,98.0,
apartment,Estado de México,19.559799,-99.233795,60.0,
house,Yucatán,21.072905,-89.65963,127.0,
house,Distrito Federal,19.367215,-99.222138,180.0,
house,Puebla,19.044477,-98.328011,326.0,
house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,210.0,
house,Veracruz de Ignacio de la Llave,25.572505,-103.425036,330.0,
house,Estado de México,19.290517,-99.694921,157.0,
house,Jalisco,20.788616,-103.435217,156.0,
apartment,Nuevo León,25.6526883,-100.4122654,101.0,
house,Nuevo León,25.680067,-100.458626,336.0,
house,Estado de México,19.305643,-98.901535,120.0,
house,Estado de México,19.684991,-99.225298,60.0,
house,Yucatán,21.008295,-89.591019,282.0,
apartment,Guerrero,16.8572859,-99.9089643,130.0,
house,San Luis Potosí,22.093321,-100.895958,110.0,
house,Puebla,23.634501,-102.552788,156.0,
house,San Luis Potosí,22.1387477,-101.0181525,200.0,
house,Estado de México,19.428043,-99.227384,309.0,
house,Hidalgo,20.059217,-98.790423,200.0,
house,Yucatán,21.292982,-89.603973,100.0,
house,Morelos,18.903454,-99.056687,145.0,
house,Distrito Federal,19.411699,-99.166247,120.0,
house,Morelos,18.89179165,-99.22272205,183.0,
house,Yucatán,21.0424858,-89.5568382,107.0,
apartment,Querétaro,20.711874,-100.448934,140.0,
apartment,Distrito Federal,19.428152,-99.106194,67.0,
house,Estado de México,19.234822,-99.559659,115.0,
house,Estado de México,19.558449,-99.22973,180.0,
house,Chihuahua,28.652079,-106.109581,227.0,
house,Nuevo León,25.707024,-100.21376,250.0,
house,Aguascalientes,21.878481,-102.332787,215.0,
house,Veracruz de Ignacio de la Llave,19.155567,-96.13928,165.0,
house,Hidalgo,20.05687984,-98.76537555,200.0,
house,Nuevo León,25.634661,-100.295769,242.0,
apartment,Distrito Federal,19.367931,-99.170262,120.0,
house,Distrito Federal,19.360526,-99.301674,220.0,
house,Distrito Federal,19.464398,-99.113317,304.0,
house,Puebla,19.01195,-98.219383,385.0,
apartment,Yucatán,21.2929822,-89.6039725,255.0,
house,Distrito Federal,19.351396,-99.130999,225.0,
house,Morelos,18.93409,-99.254997,218.0,
house,Querétaro,20.6990975,-100.4705682,276.0,
house,Yucatán,21.030668,-89.599258,100.0,
house,Yucatán,20.996355,-89.583946,201.0,
house,Puebla,18.983141,-98.265739,135.0,
house,Estado de México,19.2826098,-99.6556653,90.0,
house,Tamaulipas,22.4107891,-97.9342897,176.0,
house,Tabasco,18.263374,-93.179222,104.0,
house,Distrito Federal,19.396669,-99.067626,220.0,
house,Yucatán,21.039522,-89.563911,174.0,
house,Estado de México,19.545097,-99.21289,233.0,
apartment,Puebla,19.054064,-98.245911,95.0,
house,Estado de México,19.62378,-99.199085,153.0,
house,Sinaloa,23.240411,-106.432565,189.0,
apartment,Distrito Federal,19.452331,-99.177162,90.0,
house,Quintana Roo,21.129547,-86.817017,275.0,
apartment,Distrito Federal,19.342083,-99.0532159,86.0,
house,Nuevo León,25.702822,-100.304192,148.0,
house,Veracruz de Ignacio de la Llave,19.563358,-96.939697,110.0,
house,Veracruz de Ignacio de la Llave,19.205341,-96.197784,130.0,
house,Yucatán,21.0424858,-89.5568382,185.0,
apartment,Guerrero,16.829584,-99.9083,154.0,
house,Querétaro,20.726007,-100.442642,273.0,
house,San Luis Potosí,23.634501,-102.552788,187.0,
house,Distrito Federal,19.395069,-99.204927,110.0,
apartment,Distrito Federal,19.400004,-99.16735,94.0,
house,Tabasco,17.979631,-92.965249,100.0,
house,Querétaro,20.5887932,-100.3898881,84.0,
house,Yucatán,21.006756,-89.570984,162.0,
house,Yucatán,21.013465,-89.591041,239.0,
house,Chiapas,19.671066,-101.213341,175.0,
house,Veracruz de Ignacio de la Llave,18.1495073,-94.4422,200.0,
house,Nuevo León,25.7418083,-100.4057781,211.0,
house,Yucatán,20.968147,-89.629875,123.0,
house,Tamaulipas,22.2621259,-97.8238578,141.0,
house,Jalisco,20.767952,-103.40899,148.0,
house,Morelos,18.795519,-99.231445,150.0,
apartment,Distrito Federal,19.449392,-99.138544,70.0,
apartment,Quintana Roo,21.15640821,-86.84881411,95.0,
house,Tamaulipas,22.3160889,-97.8884841,165.0,
apartment,Distrito Federal,19.486255,-99.214043,65.0,
apartment,Distrito Federal,19.36594,-99.163153,85.0,
house,Veracruz de Ignacio de la Llave,19.146434,-96.161783,91.0,
house,Yucatán,21.035221,-89.635757,204.0,
house,Guerrero,16.86432868,-99.88790821,170.0,
house,Querétaro,20.726007,-100.442642,180.0,
house,Sinaloa,23.261934,-106.408936,124.0,
house,Quintana Roo,21.139086,-86.84964,66.0,
house,Veracruz de Ignacio de la Llave,25.535524,-103.379302,276.0,
house,Yucatán,21.0043658,-89.5614233,79.0,
apartment,Distrito Federal,19.364613,-99.161892,70.0,
apartment,Distrito Federal,19.366505,-99.222297,72.0,
house,Querétaro,20.6521079,-100.3491545,250.0,
house,Yucatán,21.03504976,-89.59907413,137.0,
apartment,Distrito Federal,19.354947,-99.087529,65.0,
house,Yucatán,21.008295,-89.591019,142.0,
house,Querétaro,20.6476044,-100.35253,150.0,
house,Yucatán,21.030668,-89.599258,305.0,
house,Distrito Federal,19.371317,-99.140957,300.0,
apartment,Veracruz de Ignacio de la Llave,19.1356101,-96.1142685,105.0,
apartment,Distrito Federal,19.377169,-99.187643,90.0,
apartment,Distrito Federal,19.381591,-99.165397,124.0,
house,Yucatán,21.039522,-89.563911,230.0,
house,Jalisco,20.755833,-103.413251,180.0,
house,Estado de México,19.27223,-99.575691,300.0,
apartment,Veracruz de Ignacio de la Llave,19.191416,-96.127518,70.0,
house,San Luis Potosí,22.121187,-100.951736,154.0,
house,Tabasco,17.987557,-92.929147,150.0,
house,Estado de México,19.4653884,-99.5940417,70.0,
house,Morelos,18.8493694,-98.9479805,250.0,
house,Yucatán,21.05294348,-89.66792107,141.0,
house,Morelos,18.942068,-99.242531,320.0,
house,Guerrero,16.808875,-99.821739,104.0,
apartment,Estado de México,19.531773,-99.245873,174.0,
house,Tamaulipas,25.860595,-97.504808,212.0,
house,Guanajuato,21.1666103,-101.6315416,210.0,
house,Morelos,18.882006,-99.148384,240.0,
apartment,Puebla,19.002178,-98.271063,87.0,
house,Estado de México,19.425918,-99.230123,300.0,
house,Morelos,18.8736789,-99.1922665,257.0,
house,San Luis Potosí,22.186096,-101.005652,240.0,
house,Yucatán,21.075163,-89.516731,189.0,
house,Puebla,18.984862,-98.222234,289.0,
apartment,Distrito Federal,19.3650311,-99.1477363,83.0,
apartment,Morelos,18.917393,-99.221062,127.0,
house,Distrito Federal,19.399375,-99.149986,95.0,
house,Baja California,32.5622552,-115.3169575,75.0,
apartment,Distrito Federal,19.452689,-99.117987,60.0,
house,Distrito Federal,19.336104,-99.101761,70.0,
house,Zacatecas,23.634501,-102.552788,138.0,
house,Jalisco,20.567506,-103.48332,149.0,
house,Nayarit,20.722561,-105.270132,84.0,
apartment,Distrito Federal,19.3987957,-99.1594498,110.0,
house,San Luis Potosí,22.1176283,-101.0151243,380.0,
house,Yucatán,21.006756,-89.570984,90.0,
house,Veracruz de Ignacio de la Llave,25.510739,-103.357425,140.0,
house,Tamaulipas,22.2695545,-97.8750355,140.0,
house,Estado de México,19.3308425,-99.5817205,140.0,
house,Estado de México,19.2398293,-99.617673,332.0,
house,Estado de México,19.4689569,-99.2727792,372.0,
house,Morelos,18.917542,-98.963181,200.0,
house,Tabasco,17.97280546,-92.95154875,134.0,
house,Nuevo León,25.79255,-100.274638,159.0,
apartment,Distrito Federal,19.3928136,-99.1738213,112.0,
house,Sinaloa,24.804811,-107.46476,95.0,
house,Aguascalientes,21.905983,-102.286817,157.0,
house,Morelos,18.900945,-99.232574,279.0,
house,Tamaulipas,22.2900902,-97.8437788,75.0,
apartment,Distrito Federal,19.375374,-99.137657,80.0,
house,Nuevo León,25.660711,-100.289459,222.0,
apartment,Puebla,19.02065826,-98.22384596,100.0,
house,Yucatán,20.96083848,-89.62156874,160.0,
apartment,Distrito Federal,19.409369,-99.171906,83.0,
house,Nuevo León,25.7584835,-100.4052434,131.0,
house,Nuevo León,25.712547,-100.249496,210.0,
house,Yucatán,21.05119626,-89.53858227,168.0,
house,Puebla,19.09276402,-98.22678055,100.0,
house,Jalisco,20.792152,-103.475021,104.0,
house,Guanajuato,21.121012,-101.600136,207.0,
house,San Luis Potosí,22.18307725,-101.0302325,92.0,
apartment,Distrito Federal,19.404032,-99.179694,103.0,
house,Morelos,18.814863,-99.211439,97.0,
apartment,Distrito Federal,19.368544,-99.163605,105.0,
house,Puebla,19.0550344,-98.2731403,330.0,
house,Yucatán,21.04307817,-89.55160305,190.0,
house,Estado de México,19.699144,-98.978363,180.0,
apartment,Distrito Federal,19.341894,-99.224525,96.0,
house,Querétaro,20.596285,-100.357695,300.0,
apartment,Puebla,19.035632,-98.223132,92.0,
house,Puebla,19.0217424,-98.2604216,215.0,
house,Chiapas,19.987465,-102.284888,330.0,
apartment,Morelos,18.957352,-99.260544,76.0,
house,Morelos,18.845494,-99.20547,136.0,
apartment,Distrito Federal,19.366901,-99.297272,65.0,
house,San Luis Potosí,22.18408015,-101.0286072,110.0,
house,Estado de México,19.615452,-99.206348,70.0,
house,Estado de México,19.590134,-99.280419,100.0,
house,Distrito Federal,19.473907,-99.177444,320.0,
house,San Luis Potosí,22.149093,-100.889863,180.0,
house,Estado de México,19.641889,-99.1774462,250.0,
house,Veracruz de Ignacio de la Llave,19.089373,-96.130805,168.0,
house,Querétaro,20.606224,-100.329168,165.0,
house,Yucatán,21.001256,-89.600723,325.0,
apartment,Nuevo León,25.7302897,-100.3965403,160.0,
house,Puebla,19.004742,-98.235992,180.0,
house,Morelos,18.920158,-99.180214,85.0,
house,Morelos,18.916586,-99.214371,272.0,
house,Puebla,19.063091,-98.296013,252.0,
apartment,Distrito Federal,19.371321,-99.140985,84.0,
apartment,Puebla,19.0378006,-98.3007086,120.0,
apartment,Distrito Federal,19.362824,-99.266178,162.0,
house,Chiapas,16.780325,-93.119637,180.0,
house,Yucatán,21.039522,-89.563911,178.0,
apartment,Distrito Federal,19.465454,-99.162665,69.0,
house,Jalisco,20.700756,-103.333385,300.0,
house,Baja California Sur,22.886851,-109.946872,94.0,
house,Querétaro,20.549404,-100.378563,110.0,
house,Distrito Federal,19.353288,-99.244721,150.0,
house,Estado de México,19.278994,-99.559006,136.0,
house,Puebla,18.985191,-98.186447,148.0,
apartment,Jalisco,20.67603,-103.425418,125.0,
apartment,Guerrero,16.87630091,-99.88293272,88.0,
house,Nayarit,21.525436,-104.923553,115.0,
apartment,Chiapas,16.748743,-93.066491,73.0,
apartment,Distrito Federal,19.432657,-99.177444,150.0,
house,Querétaro,20.618279,-100.346985,160.0,
house,Estado de México,19.72876,-99.461708,236.0,
house,Veracruz de Ignacio de la Llave,25.51506,-103.413092,230.0,
house,Querétaro,20.419854,-99.998039,89.0,
house,Morelos,18.804197,-98.932816,117.0,
apartment,San Luis Potosí,22.133104,-100.982117,100.0,
apartment,Distrito Federal,19.400249,-99.177444,150.0,
house,Yucatán,21.03071,-89.618103,382.0,
house,Jalisco,20.649154,-105.202538,90.0,
house,Baja California,32.426032,-117.033916,140.0,
house,Tamaulipas,26.058614,-98.322969,252.0,
house,Veracruz de Ignacio de la Llave,25.599048,-103.412397,189.0,
house,Baja California Sur,24.129181,-110.31971,110.0,
house,Tamaulipas,22.238298,-97.841892,200.0,
house,Puebla,19.046561,-98.190349,110.0,
apartment,Distrito Federal,19.451872,-99.173522,70.0,
house,Estado de México,19.253367,-99.606303,260.0,
house,Sonora,29.0287123,-110.97103,200.0,
apartment,Distrito Federal,19.45569471,-99.16357613,76.0,
house,Jalisco,20.7670434,-103.3941011,195.0,
apartment,Distrito Federal,19.336195,-99.23692,100.0,
house,San Luis Potosí,22.1564699,-100.9855409,110.0,
house,Yucatán,21.0634817,-89.6110378,296.0,
house,Yucatán,21.135925,-89.6446768,200.0,
house,Querétaro,20.547818,-100.407691,80.0,
house,Morelos,18.954132,-99.266083,210.0,
house,Quintana Roo,21.152508,-86.850891,180.0,
house,Morelos,18.882725,-99.163605,112.0,
house,Tabasco,17.97423,-92.923836,60.0,
house,Chiapas,16.740764,-93.089951,148.0,
house,Nuevo León,25.764894,-100.264221,160.0,
apartment,Querétaro,20.60782,-100.366721,110.0,
house,Distrito Federal,19.469688,-99.085456,248.0,
apartment,Distrito Federal,19.27112369,-99.20883894,72.0,
apartment,Jalisco,20.723133,-103.418115,84.0,
house,Chiapas,16.76764,-93.178283,250.0,
house,Yucatán,20.9673702,-89.5925857,290.0,
house,Yucatán,21.017197,-89.574516,158.0,
house,Morelos,18.862602,-99.213448,320.0,
house,Veracruz de Ignacio de la Llave,19.123617,-96.113161,220.0,
house,Distrito Federal,19.355938,-99.129918,200.0,
house,Baja California Sur,19.35913,-98.983431,189.0,
house,Yucatán,20.989016,-89.632225,300.0,
house,Veracruz de Ignacio de la Llave,25.453195,-100.935486,203.0,
house,Yucatán,20.938659,-89.615316,173.0,
house,Tamaulipas,22.270658,-97.849037,263.0,
house,Chiapas,16.78141,-93.096451,87.0,
house,Chiapas,19.691938,-101.176615,220.0,
house,Estado de México,19.64079,-99.098691,105.0,
apartment,Puebla,19.011347,-98.246264,139.0,
house,Jalisco,20.647029,-103.454953,122.0,
house,Morelos,18.905066,-99.224869,120.0,
house,Veracruz de Ignacio de la Llave,19.06681288,-96.07347608,271.0,
house,Querétaro,20.705742,-100.444016,350.0,
house,Estado de México,19.54323,-99.222374,181.0,
house,Sinaloa,24.8090649,-107.3940117,212.0,
house,Tamaulipas,25.872879,-97.509221,287.0,
house,Distrito Federal,19.373264,-99.104161,250.0,
apartment,Distrito Federal,19.383952,-99.160229,100.0,
house,Chiapas,16.757278,-93.134056,298.0,
house,Tamaulipas,22.320061,-97.86808,67.0,
house,Guanajuato,20.58343642,-101.1981905,180.0,
apartment,Distrito Federal,19.396018,-99.147827,80.0,
house,Chiapas,19.646418,-101.238213,153.0,
house,Estado de México,19.5896123,-99.2907617,60.0,
house,Querétaro,20.631845,-100.390495,315.0,
house,Baja California Sur,24.083153,-110.303329,65.0,
house,Veracruz de Ignacio de la Llave,19.144342,-96.139002,140.0,
house,Estado de México,19.272027,-99.553293,107.0,
house,Hidalgo,20.1010608,-98.7591311,320.0,
house,Veracruz de Ignacio de la Llave,18.1495449,-94.5140773,104.0,
apartment,Distrito Federal,19.333901,-99.240356,85.0,
apartment,Distrito Federal,19.390031,-99.174182,108.0,
house,Nuevo León,25.781807,-100.187794,155.0,
house,Querétaro,20.7012562,-100.4654217,295.0,
apartment,Distrito Federal,19.365834,-99.263505,126.0,
house,Yucatán,20.9637793,-89.6612548,249.0,
apartment,Estado de México,19.404701,-99.292419,300.0,
house,Veracruz de Ignacio de la Llave,18.879525,-96.921847,123.0,
house,Puebla,18.978682,-98.250015,162.0,
house,Querétaro,20.6205869,-100.388042,322.0,
apartment,Nuevo León,25.654263,-100.297874,114.0,
house,Estado de México,19.180459,-99.590174,175.0,
apartment,Durango,24.010702,-104.613602,88.0,
apartment,Distrito Federal,19.474655,-99.189277,60.0,
apartment,Querétaro,20.65449,-100.384446,160.0,
house,Veracruz de Ignacio de la Llave,25.569556,-103.383702,244.0,
house,Morelos,18.813505,-98.953514,66.0,
house,Quintana Roo,21.118165,-86.880921,189.0,
apartment,Tabasco,17.972448,-92.960579,104.0,
house,Veracruz de Ignacio de la Llave,19.165146,-96.160652,220.0,
apartment,Distrito Federal,19.3499358,-99.2906864,78.0,
apartment,Estado de México,19.402713,-99.27547,130.0,
house,Morelos,18.948109,-99.26886,200.0,
house,Querétaro,20.5887932,-100.3898881,334.0,
apartment,Distrito Federal,19.406592,-99.155442,90.0,
house,Nuevo León,25.677525,-100.258614,257.0,
house,Distrito Federal,19.318989,-99.094437,100.0,
house,Querétaro,20.712143,-100.454275,230.0,
house,Yucatán,21.01429,-89.605148,280.0,
house,Veracruz de Ignacio de la Llave,19.532306,-96.897717,100.0,
house,Veracruz de Ignacio de la Llave,19.173773,-96.1342241,160.0,
house,Veracruz de Ignacio de la Llave,19.139896,-96.109911,163.0,
house,Baja California,32.665619,-115.433372,134.0,
house,Tamaulipas,22.270658,-97.849037,93.0,
house,Yucatán,21.021821,-89.634346,235.0,
apartment,Querétaro,20.5887932,-100.3898881,178.0,
house,Veracruz de Ignacio de la Llave,19.142568,-96.125389,214.0,
house,Morelos,18.970675,-99.288261,333.0,
house,Morelos,18.813505,-98.953514,90.0,
house,Sonora,27.492618,-109.960496,270.0,
house,Quintana Roo,20.65593,-87.05368,210.0,
house,Baja California Sur,24.143626,-110.336274,180.0,
house,Guerrero,16.841759,-99.847374,97.0,
apartment,Veracruz de Ignacio de la Llave,19.125867,-96.106026,189.0,
house,Chihuahua,23.634501,-102.552788,200.0,
house,Jalisco,20.6081525,-103.3946675,150.0,
apartment,Yucatán,21.029198,-89.607506,200.0,
house,Morelos,18.927336,-99.213448,145.0,
house,Veracruz de Ignacio de la Llave,25.439677,-100.946717,172.0,
apartment,Distrito Federal,19.472481,-99.182374,75.0,
house,Estado de México,19.514382,-99.258682,150.0,
house,Distrito Federal,19.325355,-99.232561,136.0,
house,Yucatán,21.072905,-89.65963,250.0,
house,San Luis Potosí,22.14691,-101.038651,245.0,
house,Morelos,18.879347,-99.179871,184.0,
house,Tabasco,18.03410232,-92.98419938,161.0,
house,Morelos,23.634501,-102.552788,338.0,
house,Puebla,18.921051,-98.417053,116.0,
house,Puebla,19.014643,-98.170731,140.0,
house,Morelos,18.858107,-99.200287,78.0,
house,Morelos,18.945309,-99.22372,380.0,
house,Yucatán,21.0381057,-89.5933722,213.0,
apartment,Distrito Federal,19.474655,-99.189277,70.0,
house,Yucatán,21.072905,-89.65963,200.0,
house,Veracruz de Ignacio de la Llave,25.531834,-103.315276,150.0,
apartment,Nuevo León,25.651072,-100.342773,92.0,
house,Estado de México,19.499864,-99.050138,175.0,
house,Estado de México,19.555771,-99.248612,200.0,
house,San Luis Potosí,22.157743,-100.94397,225.0,
house,Nuevo León,25.6769684,-100.4508956,107.0,
house,San Luis Potosí,22.14700093,-101.0172996,160.0,
house,Guerrero,16.85678,-99.853204,280.0,
apartment,Estado de México,19.424913,-99.271629,69.0,
house,Estado de México,19.54966748,-99.01653931,90.0,
house,Guerrero,16.867283,-99.867119,150.0,
house,Morelos,18.811808,-98.94649,100.0,
apartment,Distrito Federal,19.396502,-99.128797,80.0,
apartment,Yucatán,21.017197,-89.574516,66.0,
house,Hidalgo,20.06499132,-98.76800179,100.0,
house,Tamaulipas,22.266645,-97.870796,296.0,
house,Estado de México,18.948179,-99.482277,170.0,
apartment,Yucatán,21.3421022,-89.2624626,202.0,
house,Puebla,19.044477,-98.328011,235.0,
house,Chihuahua,28.6556674,-106.0711926,159.0,
house,Distrito Federal,19.2826778,-99.2090757,161.0,
apartment,Distrito Federal,19.48888,-99.179278,70.0,
house,Chiapas,16.732222,-93.135307,240.0,
house,Veracruz de Ignacio de la Llave,23.634501,-102.552788,205.0,
house,Yucatán,21.0381057,-89.5933722,165.0,
apartment,Guerrero,16.801018,-99.824979,98.0,
house,Estado de México,19.6850991,-99.2113669,62.0,
house,Morelos,18.9212022,-99.1739857,125.0,
house,Yucatán,21.030668,-89.599258,320.0,
apartment,Puebla,18.96785528,-98.28487086,127.0,
house,Nuevo León,25.723516,-100.393311,365.0,
house,Yucatán,21.0151423,-89.6551671,180.0,
apartment,Quintana Roo,21.13593739,-86.76753902,84.0,
house,Morelos,18.891859,-99.187134,320.0,
apartment,Sinaloa,23.261248,-106.459885,61.0,
apartment,Distrito Federal,19.364891,-99.148384,62.0,
apartment,Distrito Federal,19.426528,-99.196279,60.0,
apartment,Estado de México,19.369319,-99.293444,150.0,
apartment,Chiapas,16.745249,-93.152699,73.0,
apartment,Distrito Federal,19.434723,-99.175887,80.0,
apartment,Distrito Federal,19.449392,-99.138544,65.0,
house,Estado de México,19.55134,-99.233528,260.0,
house,Querétaro,20.607178,-100.335754,104.0,
house,San Luis Potosí,22.16483221,-100.976522,125.0,
house,San Luis Potosí,22.16644588,-100.9547921,140.0,
house,Chiapas,16.771928,-93.105578,200.0,
house,Tamaulipas,22.246319,-97.86264,163.0,
house,Distrito Federal,19.365175,-99.230064,270.0,
apartment,Estado de México,19.379597,-99.293808,155.0,
house,Tlaxcala,19.312792,-98.216515,159.0,
house,Querétaro,23.634501,-102.552788,145.0,
house,Yucatán,21.039522,-89.563911,186.0,
house,San Luis Potosí,22.175159,-100.979996,188.0,
house,Puebla,19.11055714,-98.28005165,120.0,
house,Estado de México,19.64443,-99.098587,75.0,
house,Veracruz de Ignacio de la Llave,25.502705,-103.408554,190.0,
house,Veracruz de Ignacio de la Llave,25.461545,-100.883958,170.0,
apartment,Distrito Federal,19.478815,-99.196831,64.0,
house,Querétaro,20.611304,-100.386343,360.0,
house,Veracruz de Ignacio de la Llave,19.178049,-96.128845,160.0,
house,Veracruz de Ignacio de la Llave,20.955351,-97.404341,150.0,
house,Sonora,29.07683,-110.9871743,309.0,
apartment,Guerrero,23.634501,-102.552788,178.0,
house,Yucatán,21.039522,-89.563911,215.0,
house,Nuevo León,25.74317303,-100.3723396,138.0,
apartment,Morelos,18.97019398,-99.24238533,117.0,
house,Aguascalientes,21.88930425,-102.2563045,198.0,
apartment,Distrito Federal,19.298168,-99.113106,83.0,
house,Chiapas,16.734992,-93.102641,121.0,
house,Nuevo León,25.701321,-100.457924,164.0,
house,Aguascalientes,21.88585,-102.294085,185.0,
house,Jalisco,20.618633,-103.387465,150.0,
house,Nuevo León,25.67382016,-100.3135947,120.0,
house,Morelos,18.942068,-99.242531,200.0,
house,Querétaro,20.700323,-100.472563,269.0,
